Question,Departments (separated by /),Subcategory,Critical,type,Category,Spalte2
Sind alle für die Operation notwenigen Informationen auf dem OP-Programm erhalten?,OP In,Ablauforganisation,FALSE,Frage Personal,Aseptisches Arbeiten,
Wird das Team-Time-Out korrekt durchgeführt?,OP In,Ablauforganisation,FALSE,Beobachtung,Aseptisches Arbeiten,
Wird benutztes Instrumentarium unmittelbar nach dem Gebrauch in geschlossenen stich- und schnittfesten Behältern zur Aufbereitung transportiert?,OP In / I,Aufbereitung von Instrumenten und Utensilien,FALSE,Beobachtung,Aufbereitung/Desinfektion/Reinigung,
Werden die Instrumente gleichmässig mit einem Vorbereitungsschaum besprüht? ,OP In / I,Aufbereitung von Instrumenten und Utensilien,FALSE,Beobachtung,Aufbereitung/Desinfektion/Reinigung,
Wird der Abfall nach Entsorgungskonzept der Insel Gruppe entsorgt?,OP If / I / A,Entsorgung,FALSE,Beobachtung,Infrastruktur,
Stehen Behältnisse zur sicheren Entsorgung medizinischer Abfälle zur Verfügung?,OP If / I / A,Entsorgung,FALSE,Beobachtung,Infrastruktur,
Ist die Zoneneinteilung klar definiert?,OP If,Hygienezonen,FALSE,Frage Personal,Infrastruktur,
Wird die Zoneneinteilung eingehalten?,OP If,Hygienezonen,FALSE,Frage Personal,Infrastruktur,
Ist die Zutrittsberechtigung für teamfremde Personen geregelt?,OP If,Hygienezonen,FALSE,Frage Personal,Infrastruktur,
Gibt es Verhaltensregeln für die Begleitpersonen von Patientinnen und Patienten?,OP If,Hygienezonen,FALSE,Frage Personal,Infrastruktur,
"Ist die Abteilung räumlich so organisiert, dass eine klare Trennung der Materialver- und entsorgung gewährleistet ist (Kreuzkontamination ausgeschlossen)?",OP If / I,Allgemeines,TRUE,Frage Personal,Infrastruktur,
"Ist genügend Platz für geparkte Patientenbetten, so dass eine Kreuzkontamination verhindert wird?",OP If / I,Allgemeines,TRUE,Frage Personal,Infrastruktur,
Sind Oberflächen und Böden in medizinisch genutzten Räumen desinfizierbar und gut zu reinigen?,OP If / I,Reinigung und Desinfektion von Flächen,FALSE,Beobachtung,Aufbereitung/Desinfektion/Reinigung,
Sind reine und unreine Zonen definiert?,OP If / I / A,Ausguss,TRUE,Beobachtung,Infrastruktur,
Werden die reinen und unreinen Zonen eingehalten?,OP If / I / A,Ausguss,TRUE,Beobachtung,Infrastruktur,
Findet eine jährliche Wartung sowie jährliche Validierung von Reinigungs- und Desinfektionsmittelgeräten statt? ,OP If / I / A,Ausguss,TRUE,Beobachtung,Infrastruktur,
"Wird die Konzentration, Einwirk- und Standzeit bei Instrumentendesinfektionsmitteln nach Herstellerangaben eingehalten? ",I / A,Aufbereitung von Instrumenten und Utensilien,FALSE,Beobachtung,Aufbereitung/Desinfektion/Reinigung,
Sind arbeitstäglich genutzte Instrumentendesinfektionsmittellösungen optisch sauber? ,I / A,Aufbereitung von Instrumenten und Utensilien,FALSE,Beobachtung,Aufbereitung/Desinfektion/Reinigung,
Ist ein Ausguss ausserhalb des OP-Saales vorhanden?,OP If,Ausguss,FALSE,Frage Personal,Infrastruktur,
"Hat das Reinigungspersonal einen eigenen Raum, in dem die Reinigungsmaterialien aufbewahrt werden?",OP If,Ausguss,FALSE,Beobachtung,Infrastruktur,
"Besteht eine Anleitung zur Beladung der Dekontaminationsgeräte nach Herstellerangaben(Steckbeckenautomat, TopClean 60) und werden die Geräte nach dieser Anleitung beladen?",OP If / I / A,Aufbereitung von Instrumenten und Utensilien,FALSE,Beobachtung,Aufbereitung/Desinfektion/Reinigung,
Ist die Trennung von OP-Bereichs- / Berufs- / Privatkleidung gewährleistet?,OP If,Garderoben,FALSE,Beobachtung,Infrastruktur,
Ist Lagerung und Transport von OP-Bereichskleidung geregelt?,OP If,Garderoben,FALSE,Beobachtung,Infrastruktur,
Sind verschiedene Modelle von Einweg-OP-Hauben vorhanden?,OP If,Garderoben,FALSE,Beobachtung,Infrastruktur,
Stehen abwaschbare OP-Bereichsschuhe zur Verfügung?,OP If,Garderoben,FALSE,Beobachtung,Infrastruktur,
Sind in der Garderobe Handwaschbecken und Desinfektionsmittelspender vorhanden?,OP If,Garderoben,FALSE,Beobachtung,Infrastruktur,
Stehen ausreichend Schränke oder Ablagen für Schuhe und Kleidung der Mitarbeitenden zur Verfügung?,OP If,Garderoben,FALSE,Beobachtung,Infrastruktur,
"Werden sterile Medizinprodukte vor Feuchtigkeit, Verschmutzung, Staub, direktem Sonnen- und UV Licht, extremen Temperaturen und Beschädigung geschützt gelagert? ",OP If / I / A,Lagerung von Medizinprodukten,FALSE,Beobachtung,Infrastruktur,
"Werden unsterile Medizinprodukte vor Feuchtigkeit, Verschmutzung, Staub und Beschädigung geschützt gelagert? ",OP If / I / A,Lagerung von Medizinprodukten,FALSE,Beobachtung,Infrastruktur,
Sind die Abläufe sowie die Nutzung von Schutzmaterialien bei Isolation bekannt?,OP In,Isolationen ,FALSE,Frage Personal,Isolationen,
Ist der Aufbereitungsprozess und die Flächendesinfektion bei Isolation  bekannt?,OP In,Isolationen ,FALSE,Frage Personal,Isolationen,
Sind die verschiedenen Isolationsformen bekannt?,OP If / I / A,Isolationen ,FALSE,Frage Personal,Isolationen,
Sind die Kontraindikationen der TIP (Tröpfchenisolation am Platz) bekannt?,I / A,Isolationen ,FALSE,Frage Personal,Isolationen,
Stehen Materialien zur Markierung der Isolationen zur Verfügung?,OP If / I / A,Isolationen ,FALSE,Frage Personal,Isolationen,
Wird die Patientin/der Patient über die jeweilige Isolation informiert?,A,Isolationen ,FALSE,Frage Personal,Isolationen,
Werden Informationsblätter für Patientinnen / Patienten und  Angehörige zur Verfügung gestellt?,A,Isolationen ,FALSE,Frage Personal,Isolationen,
Werden Angehörige / Besuchende über das Verhalten bei Isolation instruiert?,A,Isolationen ,FALSE,Frage Personal,Isolationen,
"Werden Gegenstände und Pflegematerial (z.B. Stethoskope, Blutdruckmanschetten) und Oberflächen (z.B. Untersuchungsliege) nach Isolationen desinfizierend gereinigt?",A,Isolationen ,TRUE,Beobachtung,Isolationen,
"Werden Verbands- / Behandlungswagen bei Kontaktisolation nicht ins Zimmer genommen, bzw. zimmergebunden eingesetzt?",A,Isolationen ,TRUE,Beobachtung,Isolationen,
"Stehen isolierten Patienten eigene Toiletten/eigener Nachtstuhl  
zur Verfügung?",A,Isolationen ,FALSE,Beobachtung,Isolationen,
Werden gemeinsam genutzte  Duschen/Duschmatten bei kontaktisolierten Patienten nach jedem Gebrauch wischdesinfiziert?,A,Isolationen ,FALSE,Frage Personal,Isolationen,
Wird Material aus Kontaktisolationszimmern nach Austritt der Patientin / des Patienten wischdesinfiziert oder entsorgt?,A,Isolationen ,TRUE,Beobachtung,Isolationen,
Gibt es einen definierten Raum / Bereich für die Lagerung von Medizinprodukten in der OP-Abteilung?,OP If,Lagerung von Medizinprodukten,FALSE,Frage Personal,Infrastruktur,
Wird der definierte Lagerbereich nur zum Lagern von sterilen Medizinprodukten verwendet?,OP If,Lagerung von Medizinprodukten,FALSE,Frage Personal,Infrastruktur,
Findet keine Bodenlagerung statt?,OP If / I / A,Lagerung von Medizinprodukten,FALSE,Beobachtung,Infrastruktur,
Wird die antibiotische Prophylaxe immer mit einem Kaderarzt diskutiert?,A,Antibiotika Stewardship,FALSE,Frage ärztliches Personal,Patientenbezogene Massnahmen,
Wird die Indikation einer antibiotischen Therapie regelmässig reevaluiert?,A,Antibiotika Stewardship,TRUE,Frage ärztliches Personal,Patientenbezogene Massnahmen,
Werden Antibiotika gemäss Indikation / Guidelines Insel Antibiotika verabreicht?,A / OP In / I,Antibiotika Stewardship,TRUE,Frage ärztliches Personal,Patientenbezogene Massnahmen,
"Sind Beginn und Dauer der Antibiotika-Gabe auf den Eingriff zugeschnitten und findet, falls notwendig, eine Wiederholung statt?",OP In /  I,Antibiotika Stewardship,FALSE,Frage ärztliches Personal,Patientenbezogene Massnahmen,
Ist die Dosis dem Körpergewicht angepasst?,OP In /  I,Antibiotika Stewardship,FALSE,Frage ärztliches Personal,Patientenbezogene Massnahmen,
Besteht eine klare Indikation für die Einlage?,OP In / I  / A,Blasenkatheterisierung,TRUE,Beobachtung,Patientenbezogene Massnahmen,
Erfolgt die Einlage durch geschultes Personal?,OP In / I  / A,Blasenkatheterisierung,FALSE,Beobachtung,Patientenbezogene Massnahmen,
Ist die Asepsis während der Einlage gewährleistet?,OP In / I  / A,Blasenkatheterisierung,TRUE,Beobachtung,Patientenbezogene Massnahmen,
"Ist ein kontinuierlich geschlossenes, steriles Urinableitungssystem mit Rückflusssperre gewährleistet?",OP In / I  / A,Blasenkatheterisierung,FALSE,Beobachtung,Patientenbezogene Massnahmen,
Werden die Urinableitungssysteme unter Blasenniveau belassen?,OP In / I  / A,Blasenkatheterisierung,FALSE,Beobachtung,Patientenbezogene Massnahmen,
"Alle Mitarbeitenden im Raum tragen weisse Mehrweg- oder 
Einwegbereichskleidung?",I,Eingriff mit geringem bzw. minimalem Risiko ,FALSE,Beobachtung,Patientenbezogene Massnahmen,
"Alle Mitarbeitenden im Raum tragen einen Einweghaarschutz, welcher  alle Haare (inkl. Barthaare) vollständig abdeckt?",I,Eingriff mit geringem bzw. minimalem Risiko ,FALSE,Beobachtung,Patientenbezogene Massnahmen,
Wird während der Intervention und Vorbereitung von Sterilmaterial chirurgische Maske getragen?,I,Eingriff mit geringem bzw. minimalem Risiko ,FALSE,Beobachtung,Patientenbezogene Massnahmen,
"Haben alle am Eingriff beteiligten Mitarbeitenden vor dem Eingriff , falls erforderlich eine chirurgische Händedesinfektion durchgeführt?",I,Eingriff mit geringem bzw. minimalem Risiko ,FALSE,Beobachtung,Patientenbezogene Massnahmen,
Tragen alle am Eingriff beteiligten Mitarbeitenden eine sterile langärmlige Schürze? (Bei Eingriffen mit minimalem Risiko nur wenn für Sterilität erforderlich),I,Eingriff mit geringem bzw. minimalem Risiko ,FALSE,Beobachtung,Patientenbezogene Massnahmen,
Tragen am Eingriff beteiligten Mitarbeitenden sterile Handschuhe?,I,Eingriff mit geringem bzw. minimalem Risiko ,TRUE,Beobachtung,Patientenbezogene Massnahmen,
"Hat die Haarkürzung (falls erforderlich) unmittelbar vor dem Eingriff oder am Vorabend stattgefunden, und wurde möglichst ausserhalb des Eingriffsraumes und mit einem Clipper durchgeführt? ",I,Eingriff mit geringem bzw. minimalem Risiko ,TRUE,Beobachtung,Patientenbezogene Massnahmen,
Ist die Haut im Eingriffsgebiet sauber (frei von Schmutz und organischem Material)?,I,Eingriff mit geringem bzw. minimalem Risiko ,FALSE,Beobachtung,Patientenbezogene Massnahmen,
"Wird eine grossflächige, mechanische Desinfektion mittels steriler Klemme oder Pinzette durchgeführt und sterile Tupfer verwendet?",I,Eingriff mit geringem bzw. minimalem Risiko ,TRUE,Beobachtung,Patientenbezogene Massnahmen,
Wird das korrekte Hautdesinfektionsmittel verwendet?,I,Eingriff mit geringem bzw. minimalem Risiko ,TRUE,Beobachtung,Patientenbezogene Massnahmen,
Werden insgesamt drei Desinfektionsmittelanstriche durchgeführt sowie das Hautareal satt benetzt und feucht gehalten?,I,Eingriff mit geringem bzw. minimalem Risiko ,FALSE,Beobachtung,Patientenbezogene Massnahmen,
"Wird benutztes Instrumentarium unmittelbar nach dem Gebrauch in geschlossenen, stich- und schnittfesten Behältern zur Aufbereitung transportiert und falls Aufbereitung in ZSVA mit Schaum eingesprüht zur Vorreinigung?",I,Allgemeines,FALSE,Beobachtung,Infrastruktur,
Sind die Instrumentenwege zwischen sauber und kontaminiert getrennt?,I,Allgemeines,FALSE,Beobachtung,Infrastruktur,
Wird Einwegmaterial entsorgt (nicht wieder aufbereitet)?,I,Eingriff mit geringem bzw. minimalem Risiko ,FALSE,Frage Personal,Patientenbezogene Massnahmen,
Sind Anwendung und Einwirkzeit der verschiedenen Haut- und Schleimhautantiseptika bekannt?,A / I,Haut- und Schleimhautdesinfektion / Arzneimittel ,FALSE,Beobachtung,Patientenbezogene Massnahmen,
Werden Salben und Augentropfen patientenbezogen verwendet?,A / I,Haut- und Schleimhautdesinfektion / Arzneimittel ,FALSE,Beobachtung,Patientenbezogene Massnahmen,
"Werden Katheter (PVK, ZVK) nur bei klarer Indikation eingesetzt bzw. evaluiert ob Indikation noch gegeben?",OP In / A / I,Injektionen und Punktionen ,TRUE,Beobachtung,Patientenbezogene Massnahmen,
Werden Materialien auf einer sauberen oder wischdesinfizierten Fläche vorbereitet?,OP In / A / I,"Injektionen und Punktionen der Risikogruppe 1
(bspw. Einlage peripherer Venenkatheter, Blutentnahme)",FALSE,Beobachtung,Patientenbezogene Massnahmen,
Erfolgt die Einlage durch geschultes Personal? (Risikogruppe 4),OP In / A / I,Injektionen und Punktionen der Risikogruppe 4 (bspw. Einlage ZVK oder PICC),TRUE,Beobachtung,Patientenbezogene Massnahmen,
Wird für die Hautdesinfektion aus dem Hygieneordner empfohlene Desinfektionsmittel verwendet und eine mechanische Desinfektion durchgeführt sowie die Einwirkzeit nach Herstellerangaben eingehalten? ,OP In / A / I,"Injektionen und Punktionen der Risikogruppe 1
(bspw. Einlage peripherer Venenkatheter, Blutentnahme)",FALSE,Beobachtung,Patientenbezogene Massnahmen,
Stehen zugelassene alkoholbasierte Präparate für die chir. Händedesinfektion zur Verfügung?,OP If / I,Chirurgische Händedesinfektion Infra.,TRUE,Beobachtung,Infrastruktur,
"Werden die Hände vor Entnahme von Material aus Schubladen (bspw. Behandlungswagen), Schränken, usw. desinfiziert?",A / I,Händehygiene,FALSE,Beobachtung,Standardhygienemassnahmen,
"Werden die Hände vor Entnahme von Material aus Schubladen (bspw. Behandlungswagen), Schränken, usw. beim Wundverband desinfiziert?",A,Wundverbände,FALSE,Beobachtung,Patientenbezogene Massnahmen,
"Werden die Standardhygienemassnahmen (Händehygiene, Tragen unsteriler Handschuhe) nach Empfehlungen aus dem Hygieneordner durchgeführt? (Risikogruppe 1)",OP In / A / I,"Injektionen und Punktionen der Risikogruppe 1
(bspw. Einlage peripherer Venenkatheter, Blutentnahme)",FALSE,Beobachtung,Patientenbezogene Massnahmen,
Wird für die Hautdesinfektion aus dem Hygieneordner empfohlene Hautdesinfektionsmittel verwendet und eine mechanische Desinfektion durchgeführt sowie die Einwirkzeit nach Herstellerangaben eingehalten? ,OP In / A / I,Injektionen und Punktionen der Risikogruppe 2a (bspw. Abnahme Blutkulturen),TRUE,Beobachtung,Patientenbezogene Massnahmen,
"Werden die Standardhygienemassnahmen (Händehygiene, Tragen unsteriler Handschuhe) nach Empfehlungen aus dem Hygieneordner durchgeführt? (Risikogruppe 2a)",OP In / A / I,Injektionen und Punktionen der Risikogruppe 2a (bspw. Abnahme Blutkulturen),FALSE,Beobachtung,Patientenbezogene Massnahmen,
Werden Materialien auf einer wischdesinfizierten Fläche vorbereitet? (Risikogruppe a),OP In / A / I,Injektionen und Punktionen der Risikogruppe 2a (bspw. Abnahme Blutkulturen),FALSE,Beobachtung,Patientenbezogene Massnahmen,
Werden Materialien auf einer wischdesinfizierten Fläche vorbereitet? (Risikogruppe 2b),OP In / A / I,Injektionen und Punktionen der Risikogruppe 2b (bspw. diagnostische Aszites- oder Blasenpunktion),FALSE,Beobachtung,Patientenbezogene Massnahmen,
Werden Materialien auf einer wischdesinfizierten Fläche vorbereitet? (Risikogruppe 3),OP In / A / I,Injektionen und Punktionen der Risikogruppe 3 (bspw. Lumbalpunktion oder Punktionen in Organe),FALSE,Beobachtung,Patientenbezogene Massnahmen,
Werden Materialien auf einer wischdesinfizierten Fläche vorbereitet? (Risikogruppe 4),OP In / A / I,Injektionen und Punktionen der Risikogruppe 4 (bspw. Einlage ZVK oder PICC),FALSE,Beobachtung,Patientenbezogene Massnahmen,
Werden Materialien auf einer wischdesinfizierten Fläche vorbereitet?,A,Wundverbände,FALSE,Beobachtung,Patientenbezogene Massnahmen,
Werden sterile Handschuhe getragen sowie unmittelbar vor dem Anziehen der Handschuhe eine hygienische Händehygienedesinfektion durchgeführt? (Risikogruppe 2b),OP In / A / I,Injektionen und Punktionen der Risikogruppe 2b (bspw. diagnostische Aszites- oder Blasenpunktion),FALSE,Beobachtung,Patientenbezogene Massnahmen,
Werden sterile Handschuhe getragen sowie unmittelbar vor dem Anziehen der Handschuhe eine hygienische Händehygienedesinfektion durchgeführt? (Risikogruppe 3),OP In / A / I,Injektionen und Punktionen der Risikogruppe 3 (bspw. Lumbalpunktion oder Punktionen in Organe),TRUE,Beobachtung,Patientenbezogene Massnahmen,
Werden sterile Handschuhe getragen sowie unmittelbar vor dem Anziehen der Handschuhe eine hygienische Händehygienedesinfektion durchgeführt? (Risikogruppe 4),OP In / A / I,Injektionen und Punktionen der Risikogruppe 4 (bspw. Einlage ZVK oder PICC),TRUE,Beobachtung,Patientenbezogene Massnahmen,
Werden sterile Tupfer verwendet? (Risikogruppe 2a),OP In / A / I,Injektionen und Punktionen der Risikogruppe 2a (bspw. Abnahme Blutkulturen),FALSE,Beobachtung,Patientenbezogene Massnahmen,
Werden sterile Tupfer verwendet? (Risikogruppe 2b),OP In / A / I,Injektionen und Punktionen der Risikogruppe 2b (bspw. diagnostische Aszites- oder Blasenpunktion),FALSE,Beobachtung,Patientenbezogene Massnahmen,
Werden sterile Tupfer verwendet? (Risikogruppe 3),OP In / A / I,Injektionen und Punktionen der Risikogruppe 3 (bspw. Lumbalpunktion oder Punktionen in Organe),FALSE,Beobachtung,Patientenbezogene Massnahmen,
Wird die aseptische Arbeitstechnik angewendet? (Risikogruppe 1),OP In / A / I,"Injektionen und Punktionen der Risikogruppe 1
(bspw. Einlage peripherer Venenkatheter, Blutentnahme)",FALSE,Beobachtung,Patientenbezogene Massnahmen,
Wird ein steriles Loch- oder Abdecktuch verwendet?,OP In / A / I,Injektionen und Punktionen der Risikogruppe 3 (bspw. Lumbalpunktion oder Punktionen in Organe),FALSE,Beobachtung,Patientenbezogene Massnahmen,
Wird die aseptische Arbeitstechnik angewendet? (Risikogruppe 2a),OP In / A / I,Injektionen und Punktionen der Risikogruppe 2a (bspw. Abnahme Blutkulturen),FALSE,Beobachtung,Patientenbezogene Massnahmen,
Wird die aseptische Arbeitstechnik angewendet? (Risikogruppe 2b),OP In / A / I,Injektionen und Punktionen der Risikogruppe 2b (bspw. diagnostische Aszites- oder Blasenpunktion),TRUE,Beobachtung,Patientenbezogene Massnahmen,
Wird die aseptische Arbeitstechnik angewendet? (Risikogruppe 3),OP In / A / I,Injektionen und Punktionen der Risikogruppe 3 (bspw. Lumbalpunktion oder Punktionen in Organe),TRUE,Beobachtung,Patientenbezogene Massnahmen,
Wird die sterile Arbeitsfläche erst unmittelbar vor dem Eingriff von geschultem Personal gerichtet? (Risikogruppe 3),OP In / A / I,Injektionen und Punktionen der Risikogruppe 3 (bspw. Lumbalpunktion oder Punktionen in Organe),FALSE,Beobachtung,Patientenbezogene Massnahmen,
Wird die sterile Arbeitsfläche erst unmittelbar vor dem Eingriff von geschultem Personal gerichtet? (Risikogruppe 4),OP In / A / I,Injektionen und Punktionen der Risikogruppe 4 (bspw. Einlage ZVK oder PICC),TRUE,Beobachtung,Patientenbezogene Massnahmen,
Wird eine sterile langärmlige Schürze getragen (ausführende Person)?,OP In / A / I,Injektionen und Punktionen der Risikogruppe 4 (bspw. Einlage ZVK oder PICC),FALSE,Beobachtung,Patientenbezogene Massnahmen,
"Erfolgt die Hautdesinfektion 3-malig, grossflächig, mit mechanischer Reibung, Verwendung sterile Klemme/Pinzette und Tupfer, Aus dem Hygieneordner empfohlenes Hautdesinfektionsmittel, Einhaltung von Einwirkzeit nach Herstellerangaben?",OP In / A / I,Injektionen und Punktionen der Risikogruppe 4 (bspw. Einlage ZVK oder PICC),TRUE,Beobachtung,Patientenbezogene Massnahmen,
Wird ein ausreichend grosses steriles Loch- oder Abdecktuch verwendet?,OP In / A / I,Injektionen und Punktionen der Risikogruppe 4 (bspw. Einlage ZVK oder PICC),FALSE,Beobachtung,Patientenbezogene Massnahmen,
Wird die aseptische Arbeitstechnik angewendet und Asepsis während der Einlage gewährleistet?,OP In / A / I,Injektionen und Punktionen der Risikogruppe 4 (bspw. Einlage ZVK oder PICC),TRUE,Beobachtung,Patientenbezogene Massnahmen,
Wird für die Einlage von ZVK ein ZVK mit möglichst wenig Lumen gewählt und femoraler Zugang vermieden?,OP In / A / I,Injektionen und Punktionen der Risikogruppe 4 (bspw. Einlage ZVK oder PICC),FALSE,Beobachtung,Patientenbezogene Massnahmen,
Wird eine chirurgische Maske getragen (ausführende und assistierende Person)? (Risikogruppe 3),OP In / A / I,Injektionen und Punktionen der Risikogruppe 3 (bspw. Lumbalpunktion oder Punktionen in Organe),FALSE,Beobachtung,Patientenbezogene Massnahmen,
Werden Injektionsmedikamente/Infusionen unmittelbar vor Applikation aufgezogen?,OP In / A / I,Injektions- und Infusionslösungen / Infusionssysteme,FALSE,Beobachtung,Patientenbezogene Massnahmen,
"Wird das Gummiseptum der Stechampulle desinfiziert und eine neue, sterile Kanüle verwendet?",OP In / A / I,Injektions- und Infusionslösungen / Infusionssysteme,FALSE,Beobachtung,Patientenbezogene Massnahmen,
Werden Mehrdosenbehältnisse beschriftet mit Verfalldatum (ggf. + Anbruchdatum)?,OP In / A / I,Injektions- und Infusionslösungen / Infusionssysteme,FALSE,Beobachtung,Patientenbezogene Massnahmen,
